Calories, Total Fat (g),Trans Fat (g) ,Saturated Fat (g), Sodium (mg), Total Carbohydrates (g) ,Cholesterol (mg), Dietary Fibre (g), Sugars (g), Protein (g) ,Vitamin A (% DV) ,Vitamin C (% DV), Calcium (% DV) ,Iron (% DV) ,Encoded_Category,Bevg_Prep,cafe_numic
260,1,0.3,0.0,5,120,54,6,37,16.0,0.5,0.8,0.1,0.3,7,3,10
270,1.5,0.5,0.0,5,125,53,6,37,16.0,0.5,0.8,0.1,0.06,7,0,0
270,1.5,0.4,0.0,5,120,53,6,36,15.0,0.5,0.8,0.1,0.06,7,7,0
290,1,0.3,0.0,5,125,58,7,41,16.0,0.04,1.0,0.1,0.08,7,3,0
290,2,1.0,0.0,5,125,58,7,41,16.0,0.04,1.0,0.1,0.08,7,0,0
290,2,0.4,0.0,5,120,58,8,40,16.0,0.02,1.0,0.1,0.08,7,7,0
160,0.1,0.0,0.0,0,160,36,0,36,3.0,0.04,0.0,0.1,0.1,2,9,0
180,2.5,1.5,0.1,10,160,36,0,36,3.0,0.04,0.0,0.08,0.0,2,12,28
160,1.5,0.2,0.0,0,150,35,0,34,2.0,0.04,0.0,0.1,0.0,2,7,28
220,0.1,0.1,0.0,0,210,51,0,50,4.0,0.06,0.0,0.1,0.04,2,3,28
240,3,2.0,0.1,10,220,50,0,50,3.0,0.04,0.0,0.1,0.0,2,12,33
220,1.5,0.2,0.0,0,210,49,0,47,3.0,0.04,0.0,0.1,0.0,2,7,33
310,0.1,0.1,0.0,5,300,70,0,69,6.0,0.1,0.0,0.2,0.06,2,11,33
350,5,3.0,0.2,15,300,70,0,69,5.0,0.08,0.0,0.15,0.02,2,12,7
310,2.5,0.3,0.0,0,300,68,1,66,5.0,0.06,0.0,0.2,0.02,2,7,7
180,0.5,0.4,0.0,0,150,42,1,40,3.0,0.04,0.0,0.1,0.08,2,9,7
200,3,2.0,0.1,10,160,42,1,40,3.0,0.04,0.0,0.08,0.06,2,12,28
180,2,0.5,0.0,0,150,40,1,38,3.0,0.04,0.0,0.1,0.1,2,7,28
260,1,0.5,0.0,0,220,61,1,58,4.0,0.06,0.0,0.1,0.08,2,3,4
290,4,2.5,0.1,10,220,61,1,58,4.0,0.04,0.0,0.1,0.08,2,12,4
